season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level,rating_consistency
2019-2020,JAKOB HESSELLUND,1093.9,1098.2,4.3,2,PL,Playmaker,False,NORMAL,1.005,0,2.15,NORMAL,2.15
2019-2020,MATHIAS PORSHOLDT,1059.0,1096.5,37.5,22,PL,Playmaker,False,NORMAL,1.004,0,1.7045454545454546,NORMAL,1.7045454545454546
2019-2020,TOBIAS RASMUSSEN,1080.4,1095.6000000000001,15.2,10,PL,Playmaker,False,NORMAL,1.004,0,1.52,NORMAL,1.52
2019-2020,RUNE ANDERSEN,1015.0,1094.2,79.2,23,PL,Playmaker,False,NORMAL,1.0,0,3.4434782608695653,ELITE,3.4434782608695653
2019-2020,NIELS DAHL,1078.3,1093.2,14.9,10,PL,Playmaker,False,NORMAL,1.004,0,1.49,NORMAL,1.49
2019-2020,SØREN TAU SØRENSEN,1086.1,1091.3999999999999,5.3,9,PL,Playmaker,False,NORMAL,1.005,0,0.5888888888888889,NORMAL,0.5888888888888889
2019-2020,NIKOLAJ VESTERGAARD MEHL,1015.0,1091.1,76.1,23,PL,Playmaker,False,NORMAL,1.003,0,3.308695652173913,ELITE,3.308695652173913
2019-2020,MIKKEL HANSEN,1088.6,1091.0,2.4,4,PL,Playmaker,False,NORMAL,1.005,0,0.6,NORMAL,0.6
2019-2020,EMIL JESSEN,1015.0,1090.6,75.6,21,PL,Playmaker,False,NORMAL,1.001,0,3.5999999999999996,ELITE,3.5999999999999996
2019-2020,MIKKEL SANDHOLM MORTENSEN,1082.5,1090.3,7.8,4,PL,Playmaker,False,NORMAL,1.009,0,1.95,NORMAL,1.95
2019-2020,MADS EMIL BAYER LENBROCH,1080.8,1087.8999999999999,7.1,3,PL,Playmaker,False,NORMAL,1.008,0,2.3666666666666667,NORMAL,2.3666666666666667
2019-2020,FREDERIK NØRBJERG,1080.2,1086.9,6.7,4,PL,Playmaker,False,NORMAL,1.004,0,1.675,NORMAL,1.675
2019-2020,SIMON BOGETOFT PYTLICK,1078.2,1086.6000000000001,8.4,4,PL,Playmaker,False,NORMAL,1.003,0,2.1,NORMAL,2.1
2019-2020,ERIK VEJE RASMUSSEN,1085.7,1084.7,-1.0,5,PL,Playmaker,False,NORMAL,0.999,0,-0.2,NORMAL,0.2
2019-2020,ANDERS AGGER,1048.8,1084.7,35.9,23,PL,Playmaker,False,NORMAL,1.007,0,1.5608695652173912,NORMAL,1.5608695652173912
2019-2020,MIKKEL SANDHOLM MORTENSENASSIST,1082.9,1084.2,1.3,1,PL,Playmaker,False,NORMAL,1.0,0,1.3,NORMAL,1.3
2019-2020,MATIAS RAVN CAMPBELL,1015.0,1083.4,68.4,22,PL,Playmaker,False,NORMAL,1.005,0,3.1090909090909093,ELITE,3.1090909090909093
2019-2020,JOHAN THESBJERG KOFOED,1079.0,1083.3,4.3,5,PL,Playmaker,False,NORMAL,1.003,0,0.86,NORMAL,0.86
2019-2020,ANTON LAURSEN,1074.0,1082.8,8.8,11,PL,Playmaker,False,NORMAL,1.002,0,0.8,NORMAL,0.8
2019-2020,NICK RASMUSSEN,1084.2,1082.6000000000001,-1.6,6,PL,Playmaker,False,NORMAL,0.998,0,-0.26666666666666666,NORMAL,0.26666666666666666
2019-2020,ANDERS LENTZ THOMSEN,1083.5,1082.5,-1.0,4,PL,Playmaker,False,NORMAL,0.998,0,-0.25,NORMAL,0.25
2019-2020,NICKLAS GRAUGAARD NIELSEN,1083.4,1082.2,-1.2,24,PL,Playmaker,False,NORMAL,1.001,0,-0.049999999999999996,NORMAL,0.049999999999999996
2019-2020,MIKKEL SANDHOLM MORTENSENRETUR,1081.1,1082.1999999999998,1.1,2,PL,Playmaker,False,NORMAL,1.0,0,0.55,NORMAL,0.55
2019-2020,JEPPE MÅNSON CIESLAK,1081.5,1081.9,0.4,1,PL,Playmaker,False,NORMAL,1.0,0,0.4,NORMAL,0.4
2019-2020,LARS LYNGE WALTHER,1081.3,1080.8999999999999,-0.4,2,PL,Playmaker,False,NORMAL,1.0,0,-0.2,NORMAL,0.2
2019-2020,0,1078.5,1080.8,2.3,1,PL,Playmaker,False,NORMAL,1.0,0,2.3,NORMAL,2.3
2019-2020,STEFAN MADSEN,1080.5,1080.0,-0.5,2,PL,Playmaker,False,NORMAL,1.0,0,-0.25,NORMAL,0.25
2019-2020,SALAH BOUTAF,1079.4,1079.7,0.3,18,PL,Playmaker,False,NORMAL,1.002,0,0.016666666666666666,NORMAL,0.016666666666666666
2019-2020,SIMON SCHØLER RAADAHL SØRENSEN,1079.9,1079.6000000000001,-0.3,3,PL,Playmaker,False,NORMAL,1.0,0,-0.09999999999999999,NORMAL,0.09999999999999999
