player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
MORTEN BJØRNSHAUGE,SJH,SønderjyskE Herrehåndbold,1136.1,28,HF,False,NORMAL,32.2
MARCUS MIDTGAARD SØRENSEN,MTH,Mors-Thy Håndbold,1135.3000000000002,18,HF,False,NORMAL,47.4
BENJAMIN JAKOBSEN,AAH,Aalborg Håndbold,1135.1,21,HF,False,NORMAL,59.0
MAGNUS SØNDENÅ,REH,Ribe-Esbjerg HH,1131.7,6,HF,False,NORMAL,11.7
SALAH BOUTAF,SAH,SAH - Skanderborg AGF,1131.1,29,MV,True,NORMAL,38.9
OSKAR VIND RASMUSSEN,TMH,TMS Ringsted,1130.6,22,HF,False,NORMAL,115.6
LASSE HAMANN-BOERITHS,TMH,TMS Ringsted,1127.9,8,HF,False,NORMAL,17.2
NIELS LINDHOLT,LTH,Lemvig-Thyborøn Håndbold,1122.6,21,HF,False,NORMAL,58.1
ULRIK NØDDESBO EGGERT,SJH,SønderjyskE Herrehåndbold,1122.1,6,HF,False,NORMAL,9.8
SEBASTIAN FRANDSEN,TTH,TTH Holstebro,1120.3,29,MV,True,NORMAL,52.3
NICOLAJ KJÆR SPANGGAARD,LTH,Lemvig-Thyborøn Håndbold,1119.2,26,HF,False,NORMAL,104.2
BENJAMIN PEDERSEN,KIF,KIF Kolding,1118.8,30,ST,False,NORMAL,103.8
KASPER KILDELUND,GOG,GOG,1118.5,32,HF,False,NORMAL,103.5
ALEXANDER LYNGGAARD,BSH,Bjerringbro-Silkeborg,1118.3,35,ST,False,NORMAL,103.3
SVEND RUGHAVE,SKH,Skjern Håndbold,1118.0,29,MV,True,NORMAL,15.3
SEBASTIAN SKØTT,BSH,Bjerringbro-Silkeborg,1114.6,14,VF,False,NORMAL,25.4
CHRIS JØRGENSEN,KIF,KIF Kolding,1113.8,23,HF,False,NORMAL,98.8
TIM WINKLER,KIF,KIF Kolding,1112.3,28,MV,True,NORMAL,18.8
MISHELS LIABA,FHK,Fredericia Håndbold Klub,1112.0,10,PL,False,NORMAL,40.3
MIKKEL HANSEN,SJH,SønderjyskE Herrehåndbold,1110.6,6,HF,False,NORMAL,3.5
RASMUS BOYSEN,FHK,Fredericia Håndbold Klub,1108.6,19,HF,False,NORMAL,3.1
JACOB ØSTERGAARD,LTH,Lemvig-Thyborøn Håndbold,1108.5,17,HF,False,NORMAL,13.6
DANIEL INGASON,REH,Ribe-Esbjerg HH,1107.8,25,HF,False,NORMAL,55.1
STEVEN PLUCNAR JACOBSEN,GOG,GOG,1106.8000000000002,19,ST,False,NORMAL,26.9
SIMON GADE,AAH,Aalborg Håndbold,1106.4,32,MV,True,NORMAL,13.9
EMIL TELLERUP,FHK,Fredericia Håndbold Klub,1106.3,27,MV,True,NORMAL,14.7
MATHIAS PORSHOLDT,TTH,TTH Holstebro,1102.5,21,HF,False,NORMAL,21.6
JOHAN THESBJERG KOFOED,TTH,TTH Holstebro,1101.2,5,PL,False,NORMAL,4.2
TIM SØRENSEN,MTH,Mors-Thy Håndbold,1100.5,19,HF,False,NORMAL,85.5
SVEINN JÓHANNSSON,SJH,SønderjyskE Herrehåndbold,1099.9,25,HF,False,NORMAL,45.6
NICKLAS GRAUGAARD NIELSEN,TTH,TTH Holstebro,1099.7,10,MV,True,NORMAL,2.9
STEFAN MADSEN,AAH,Aalborg Håndbold,1099.5,5,HF,False,NORMAL,-4.2
NIKOLAI VINTHER,SJH,SønderjyskE Herrehåndbold,1098.9,20,HF,False,NORMAL,83.9
ANDERS LENTZ THOMSEN,LTH,Lemvig-Thyborøn Håndbold,1098.7,8,HF,False,NORMAL,-2.1
MIKAEL AGGEFORS,AAH,Aalborg Håndbold,1098.0,28,MV,True,NORMAL,20.4
