player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
STINE OPSTRUP KRISTENSEN,SKB,Skanderborg Håndbold,1179.9,29,HF,False,NORMAL,164.9
THEA STANKIEWICZ,AAU,Aarhus United,1176.8,28,HF,False,NORMAL,161.8
CAMILLA FAARTOFT,RIN,Ringkøbing Håndbold,1173.5,30,HF,False,NORMAL,158.5
STINE ANDERSEN,VHK,Viborg HK,1171.3000000000002,27,HF,False,NORMAL,53.9
SUSANNE MADSEN,HHE,Horsens Håndbold Elite,1168.5,10,HF,False,NORMAL,14.8
STINE BODHOLT NIELSEN,HHE,Horsens Håndbold Elite,1168.1,24,ST,False,NORMAL,44.0
MICHALA ELSBERG MØLLER,TES,Team Esbjerg,1163.8,5,HF,False,NORMAL,16.5
JOHANNA FORSBERG,NFH,Nykøbing F. Håndbold,1162.4,26,HF,False,NORMAL,60.4
MICHELLE BRANDSTRUP,RIN,Ringkøbing Håndbold,1160.8,22,HF,False,NORMAL,63.1
CLARA SKØTT,KBH,København Håndbold,1157.7,29,HF,False,NORMAL,100.4
KAROLINE LUND,KBH,København Håndbold,1156.2,31,HF,False,NORMAL,141.2
AMALIE GRØN HANSEN,HHE,Horsens Håndbold Elite,1155.7,8,HF,False,NORMAL,10.7
MELINA KRISTENSEN,HOL,Holstebro Håndbold,1154.4,20,HF,False,NORMAL,58.7
EMILIE BECH,SKB,Skanderborg Håndbold,1152.9,19,HF,False,NORMAL,42.8
MARIA KROGH HOLM,HHE,Horsens Håndbold Elite,1152.3,21,HF,False,NORMAL,77.2
